exp,stime,etime,cache-misses
test1,7835524.569812,7835542.300766,88937999
test1,7835542.358395,7835554.209689,71326049
test1,7835554.215591,7835569.668439,77183361
test1,7835569.672695,7835577.085204,70275192
test1,7835577.134476,7835599.349533,96123944
test2,7835599.353546,7835607.179890,77929820
test2,7835607.219055,7835632.731360,71455426
test2,7835632.735227,7835640.422969,77515021
test2,7835640.480628,7835659.018823,80323452
test2,7835659.022973,7835668.443792,72101290
test3,7835668.535986,7835685.843272,96859389
test3,7835685.847119,7835693.823781,78026108
test3,7835693.958637,7835721.669882,88815712
test3,7835721.674018,7835729.399325,77995642
test3,7835729.465285,7835751.785128,91449873
test4,7835751.789104,7835761.160171,71169849
test4,7835761.209599,7835779.585287,88635489
test4,7835779.589171,7835788.705792,70382628
test4,7835788.755129,7835808.901016,83458277
test4,7835808.905291,7835818.125954,73101240
test5,7835818.191876,7835842.242689,77655003
test5,7835842.247117,7835855.942166,70537167
test5,7835855.999871,7835882.470060,71017068
test5,7835882.473816,7835895.274151,76508472
test5,7835895.331798,7835921.109494,71373389

