threads,image_size,time,cache-misses
1,2048,0.081244,861497
2,2048,0.032907,881179
3,2048,0.025801,891281
4,2048,0.015023,937536
5,2048,0.012693,852803
6,2048,0.010261,815490
7,2048,0.008772,763856
8,2048,0.008115,753026
9,2048,0.006243,852099
10,2048,0.005006,708590
11,2048,0.005064,721786
12,2048,0.012476,712099
1,2048,0.077543,981622
2,2048,0.035597,997430
3,2048,0.022318,1006164
4,2048,0.019816,947775
5,2048,0.011152,973471
6,2048,0.013325,922873
7,2048,0.009038,835006
8,2048,0.007,925174
9,2048,0.006095,783277
10,2048,0.005101,882755
11,2048,0.006071,723852
12,2048,0.003579,718518
1,2048,0.072194,857720
2,2048,0.039028,877811
3,2048,0.025459,996438
4,2048,0.015631,1020331
5,2048,0.014071,941683
6,2048,0.013533,749030
7,2048,0.008553,744957
8,2048,0.008692,777786
9,2048,0.007024,772117
10,2048,0.006163,708645
11,2048,0.005114,785349
12,2048,0.005337,725388
1,4096,0.267149,3911626
2,4096,0.119121,3536597
3,4096,0.085557,2991876
4,4096,0.06993,3837833
5,4096,0.048499,3792146
6,4096,0.044468,3585745
7,4096,0.035377,2937014
8,4096,0.033683,2939662
9,4096,0.028902,3000569
10,4096,0.027151,2888391
11,4096,0.024198,3469017
12,4096,0.023984,3000094
1,4096,0.252958,3913497
2,4096,0.13078,3520611
3,4096,0.085584,3956327
4,4096,0.061844,3695328
5,4096,0.050082,3878140
6,4096,0.042303,3135031
7,4096,0.03782,2877057
8,4096,0.03638,3278099
9,4096,0.028505,3297621
10,4096,0.025816,3449640
11,4096,0.025181,2714244
12,4096,0.02265,2976579
1,4096,0.267013,3923227
2,4096,0.117562,3523044
3,4096,0.07991,3958161
4,4096,0.061078,3714055
5,4096,0.05107,3278457
6,4096,0.041829,3164201
7,4096,0.036007,3222120
8,4096,0.033487,3286148
9,4096,0.029823,3303288
10,4096,0.026008,3194123
11,4096,0.022742,2997605
12,4096,0.021302,2971086
1,8192,1.005054,15497330
2,8192,0.486402,14057821
3,8192,0.3523,15638922
4,8192,0.244968,15784078
5,8192,0.193853,14848263
6,8192,0.166064,11367366
7,8192,0.147637,12771866
8,8192,0.14363,11207457
9,8192,0.128354,12586916
10,8192,0.118162,13699176
11,8192,0.109506,11957274
12,8192,0.096609,10623406
1,8192,1.082912,13848630
2,8192,0.470283,14045762
3,8192,0.35084,15662716
4,8192,0.249249,15911961
5,8192,0.209428,14706672
6,8192,0.177124,12328861
7,8192,0.157884,11373033
8,8192,0.140648,11564568
9,8192,0.125261,14069911
10,8192,0.115401,13531371
11,8192,0.101853,10782696
12,8192,0.088395,10477285
1,8192,1.068277,15513078
2,8192,0.552968,15634908
3,8192,0.333789,15644809
4,8192,0.250844,15793394
5,8192,0.220844,14640151
6,8192,0.184082,12368578
7,8192,0.148543,12713090
8,8192,0.143258,11463976
9,8192,0.128547,12842649
10,8192,0.114932,11792302
11,8192,0.096559,12004424
12,8192,0.099029,11765647
