algorithm,threads,n,alphabet,time,cache-misses
pqs,1,10000,256,0.002052,12079
pqs,2,10000,256,0.001259,15147
pqs,3,10000,256,0.001203,9570
pqs,4,10000,256,0.001579,13260
pqs,5,10000,256,0.002168,13168
pqs,6,10000,256,0.002152,9569
pqs,7,10000,256,0.002776,14097
pqs,8,10000,256,0.002331,13324
pqs,9,10000,256,0.003386,16034
pqs,10,10000,256,0.003088,18231
pqs,11,10000,256,0.003486,24888
pqs,12,10000,256,0.002557,21670
pqs,1,10000,256,0.001962,6317
pqs,2,10000,256,0.001219,5481
pqs,3,10000,256,0.001129,8407
pqs,4,10000,256,0.001683,11527
pqs,5,10000,256,0.002444,11623
pqs,6,10000,256,0.002289,8465
pqs,7,10000,256,0.002130,9217
pqs,8,10000,256,0.002449,13225
pqs,9,10000,256,0.003233,21588
pqs,10,10000,256,0.003336,18519
pqs,11,10000,256,0.003179,17562
pqs,12,10000,256,0.003125,19664
pqs,1,10000,256,0.002035,3838
pqs,2,10000,256,0.001189,6321
pqs,3,10000,256,0.001177,7428
pqs,4,10000,256,0.001557,9427
pqs,5,10000,256,0.002169,7740
pqs,6,10000,256,0.001915,12783
pqs,7,10000,256,0.002198,15177
pqs,8,10000,256,0.002632,21373
pqs,9,10000,256,0.002466,17929
pqs,10,10000,256,0.002471,18968
pqs,11,10000,256,0.002822,19919
pqs,12,10000,256,0.003234,27016
pms,1,10000,256,0.002469,6481
pms,2,10000,256,0.001530,9085
pms,3,10000,256,0.001440,9965
pms,4,10000,256,0.001644,11487
pms,5,10000,256,0.001834,13221
pms,6,10000,256,0.001920,15864
pms,7,10000,256,0.002073,15569
pms,8,10000,256,0.002489,15388
pms,9,10000,256,0.002135,17952
pms,10,10000,256,0.002707,20087
pms,11,10000,256,0.002464,21439
pms,12,10000,256,0.002452,24787
pms,1,10000,256,0.002517,1863
pms,2,10000,256,0.001554,14514
pms,3,10000,256,0.001485,12538
pms,4,10000,256,0.001693,13831
pms,5,10000,256,0.001701,12728
pms,6,10000,256,0.001460,17252
pms,7,10000,256,0.001762,17243
pms,8,10000,256,0.001820,17329
pms,9,10000,256,0.001917,19367
pms,10,10000,256,0.002286,25254
pms,11,10000,256,0.003253,26823
pms,12,10000,256,0.010640,31213
pms,1,10000,256,0.002465,5461
pms,2,10000,256,0.001476,5120
pms,3,10000,256,0.001499,9935
pms,4,10000,256,0.001380,13390
pms,5,10000,256,0.001976,10135
pms,6,10000,256,0.001221,16431
pms,7,10000,256,0.001989,11532
pms,8,10000,256,0.002093,17693
pms,9,10000,256,0.002645,20739
pms,10,10000,256,0.002752,22673
pms,11,10000,256,0.002387,24489
pms,12,10000,256,0.009257,23083
pcs,1,10000,256,0.000641,5816
pcs,2,10000,256,0.001214,15275
pcs,3,10000,256,0.001412,19299
pcs,4,10000,256,0.002191,19254
pcs,5,10000,256,0.002285,30309
pcs,6,10000,256,0.002941,35593
pcs,7,10000,256,0.003581,42759
pcs,8,10000,256,0.003732,38624
pcs,9,10000,256,0.004553,62365
pcs,10,10000,256,0.004361,54300
pcs,11,10000,256,0.005323,65098
pcs,12,10000,256,0.005888,72095
pcs,1,10000,256,0.000664,7888
pcs,2,10000,256,0.001254,17992
pcs,3,10000,256,0.001365,19022
pcs,4,10000,256,0.001720,18898
pcs,5,10000,256,0.002536,26821
pcs,6,10000,256,0.003178,38741
pcs,7,10000,256,0.003191,36548
pcs,8,10000,256,0.004475,44988
pcs,9,10000,256,0.004032,44642
pcs,10,10000,256,0.004977,61924
pcs,11,10000,256,0.005393,64526
pcs,12,10000,256,0.012053,40641
pcs,1,10000,256,0.000657,6073
pcs,2,10000,256,0.001272,18665
pcs,3,10000,256,0.001532,23834
pcs,4,10000,256,0.001685,24789
pcs,5,10000,256,0.002572,31651
pcs,6,10000,256,0.002244,29282
pcs,7,10000,256,0.003087,35017
pcs,8,10000,256,0.004400,57614
pcs,9,10000,256,0.004278,54417
pcs,10,10000,256,0.004068,44568
pcs,11,10000,256,0.004389,52999
pcs,12,10000,256,0.004703,60423
prs,1,10000,256,0.001804,4428
prs,2,10000,256,0.001538,10071
prs,3,10000,256,0.001420,9260
prs,4,10000,256,0.001568,9808
prs,5,10000,256,0.001982,9667
prs,6,10000,256,0.002329,12685
prs,7,10000,256,0.001881,12228
prs,8,10000,256,0.002519,20275
prs,9,10000,256,0.002854,20362
prs,10,10000,256,0.002440,20907
prs,11,10000,256,0.002995,21391
prs,12,10000,256,0.003376,22147
prs,1,10000,256,0.001795,8302
prs,2,10000,256,0.001524,6082
prs,3,10000,256,0.001404,10434
prs,4,10000,256,0.001585,16234
prs,5,10000,256,0.001976,15327
prs,6,10000,256,0.002359,14418
prs,7,10000,256,0.002259,11156
prs,8,10000,256,0.002729,17506
prs,9,10000,256,0.006211,17757
prs,10,10000,256,0.003085,18946
prs,11,10000,256,0.002987,20817
prs,12,10000,256,0.005032,19204
prs,1,10000,256,0.001855,5622
prs,2,10000,256,0.001476,6724
prs,3,10000,256,0.001404,8486
prs,4,10000,256,0.001545,11038
prs,5,10000,256,0.002012,14797
prs,6,10000,256,0.002600,11362
prs,7,10000,256,0.001898,12986
prs,8,10000,256,0.002361,16081
prs,9,10000,256,0.002855,22717
prs,10,10000,256,0.003170,22346
prs,11,10000,256,0.003125,22329
prs,12,10000,256,0.003159,22787
pqs,1,10000,2046,0.002272,2062
pqs,2,10000,2046,0.001370,3754
pqs,3,10000,2046,0.001227,10114
pqs,4,10000,2046,0.001536,8242
pqs,5,10000,2046,0.002095,9257
pqs,6,10000,2046,0.002504,12171
pqs,7,10000,2046,0.002556,12938
pqs,8,10000,2046,0.003068,12354
pqs,9,10000,2046,0.002720,19526
pqs,10,10000,2046,0.002019,20122
pqs,11,10000,2046,0.003031,20508
pqs,12,10000,2046,0.003065,24835
pqs,1,10000,2046,0.002276,3770
pqs,2,10000,2046,0.001377,8726
pqs,3,10000,2046,0.001376,6834
pqs,4,10000,2046,0.001525,12711
pqs,5,10000,2046,0.001963,8740
pqs,6,10000,2046,0.002408,10824
pqs,7,10000,2046,0.002811,13787
pqs,8,10000,2046,0.002993,12764
pqs,9,10000,2046,0.002159,18448
pqs,10,10000,2046,0.002994,18850
pqs,11,10000,2046,0.002944,18279
pqs,12,10000,2046,0.006981,19295
pqs,1,10000,2046,0.002342,6408
pqs,2,10000,2046,0.001370,5289
pqs,3,10000,2046,0.001352,9324
pqs,4,10000,2046,0.001801,9188
pqs,5,10000,2046,0.002482,14259
pqs,6,10000,2046,0.001900,15466
pqs,7,10000,2046,0.002803,14047
pqs,8,10000,2046,0.002253,14837
pqs,9,10000,2046,0.002029,23292
pqs,10,10000,2046,0.002310,17402
pqs,11,10000,2046,0.003309,19107
pqs,12,10000,2046,0.003644,23979
pms,1,10000,2046,0.002626,4182
pms,2,10000,2046,0.001668,7685
pms,3,10000,2046,0.001468,8772
pms,4,10000,2046,0.001710,11032
pms,5,10000,2046,0.001766,12186
pms,6,10000,2046,0.002027,11337
pms,7,10000,2046,0.001863,17603
pms,8,10000,2046,0.002436,18135
pms,9,10000,2046,0.003320,18261
pms,10,10000,2046,0.002509,24218
pms,11,10000,2046,0.005613,23801
pms,12,10000,2046,0.002276,24780
pms,1,10000,2046,0.002624,4085
pms,2,10000,2046,0.001569,5141
pms,3,10000,2046,0.001580,9138
pms,4,10000,2046,0.001737,8911
pms,5,10000,2046,0.001989,16375
pms,6,10000,2046,0.001968,14230
pms,7,10000,2046,0.001937,19314
pms,8,10000,2046,0.002101,19619
pms,9,10000,2046,0.002104,22684
pms,10,10000,2046,0.002014,20851
pms,11,10000,2046,0.003151,19954
pms,12,10000,2046,0.003804,21495
pms,1,10000,2046,0.002683,2461
pms,2,10000,2046,0.001543,12530
pms,3,10000,2046,0.001499,8087
pms,4,10000,2046,0.001725,11905
pms,5,10000,2046,0.001820,11990
pms,6,10000,2046,0.001780,12591
pms,7,10000,2046,0.002388,20198
pms,8,10000,2046,0.001573,18987
pms,9,10000,2046,0.002221,17725
pms,10,10000,2046,0.002373,20203
pms,11,10000,2046,0.002552,23034
pms,12,10000,2046,0.002666,30048
pcs,1,10000,2046,0.003217,7582
pcs,2,10000,2046,0.007276,53307
pcs,3,10000,2046,0.006551,8911
pcs,4,10000,2046,0.008987,38408
pcs,5,10000,2046,0.012402,98540
pcs,6,10000,2046,0.015732,149947
pcs,7,10000,2046,0.019079,189655
pcs,8,10000,2046,0.021648,208475
pcs,9,10000,2046,0.022849,237385
pcs,10,10000,2046,0.022743,212344
pcs,11,10000,2046,0.027270,302615
pcs,12,10000,2046,0.027627,272135
pcs,1,10000,2046,0.002966,4854
pcs,2,10000,2046,0.007681,56285
pcs,3,10000,2046,0.008517,65213
pcs,4,10000,2046,0.010360,79892
pcs,5,10000,2046,0.012777,103005
pcs,6,10000,2046,0.015424,149326
pcs,7,10000,2046,0.020255,186854
pcs,8,10000,2046,0.022638,237079
pcs,9,10000,2046,0.023701,263887
pcs,10,10000,2046,0.023807,245998
pcs,11,10000,2046,0.027464,309027
pcs,12,10000,2046,0.033588,364771
pcs,1,10000,2046,0.003112,4624
pcs,2,10000,2046,0.005779,13406
pcs,3,10000,2046,0.006532,13127
pcs,4,10000,2046,0.010571,96814
pcs,5,10000,2046,0.011942,95628
pcs,6,10000,2046,0.014013,107298
pcs,7,10000,2046,0.019120,197227
pcs,8,10000,2046,0.023271,273101
pcs,9,10000,2046,0.020521,190432
pcs,10,10000,2046,0.026133,294073
pcs,11,10000,2046,0.026126,276985
pcs,12,10000,2046,0.028064,267922
prs,1,10000,2046,0.002206,5515
prs,2,10000,2046,0.001644,6127
prs,3,10000,2046,0.001516,9058
prs,4,10000,2046,0.001544,13309
prs,5,10000,2046,0.002067,11490
prs,6,10000,2046,0.002356,14169
prs,7,10000,2046,0.001860,17374
prs,8,10000,2046,0.002477,19465
prs,9,10000,2046,0.003294,19120
prs,10,10000,2046,0.002967,18275
prs,11,10000,2046,0.003088,18001
prs,12,10000,2046,0.004014,33797
prs,1,10000,2046,0.002253,1819
prs,2,10000,2046,0.001634,7481
prs,3,10000,2046,0.001470,9702
prs,4,10000,2046,0.001830,11294
prs,5,10000,2046,0.002850,14487
prs,6,10000,2046,0.002682,16772
prs,7,10000,2046,0.002656,17198
prs,8,10000,2046,0.002286,15012
prs,9,10000,2046,0.002633,16560
prs,10,10000,2046,0.002930,24914
prs,11,10000,2046,0.002724,22943
prs,12,10000,2046,0.002691,26059
prs,1,10000,2046,0.002219,1981
prs,2,10000,2046,0.001628,7818
prs,3,10000,2046,0.001568,9879
prs,4,10000,2046,0.001423,12360
prs,5,10000,2046,0.002221,14911
prs,6,10000,2046,0.001930,14237
prs,7,10000,2046,0.002889,17181
prs,8,10000,2046,0.002879,17351
prs,9,10000,2046,0.002276,17331
prs,10,10000,2046,0.002892,13576
prs,11,10000,2046,0.003418,25302
prs,12,10000,2046,0.003627,19113
pqs,1,10000,32768,0.002471,4653
pqs,2,10000,32768,0.001430,8796
pqs,3,10000,32768,0.001511,8509
pqs,4,10000,32768,0.001803,10969
pqs,5,10000,32768,0.001981,12299
pqs,6,10000,32768,0.002726,14813
pqs,7,10000,32768,0.002749,12239
pqs,8,10000,32768,0.002260,18920
pqs,9,10000,32768,0.002304,18272
pqs,10,10000,32768,0.002278,20925
pqs,11,10000,32768,0.002268,24703
pqs,12,10000,32768,0.002226,25458
pqs,1,10000,32768,0.002449,8523
pqs,2,10000,32768,0.001434,4270
pqs,3,10000,32768,0.001482,7820
pqs,4,10000,32768,0.001693,11568
pqs,5,10000,32768,0.002171,9967
pqs,6,10000,32768,0.002394,11256
pqs,7,10000,32768,0.002496,13974
pqs,8,10000,32768,0.002006,14493
pqs,9,10000,32768,0.003082,14901
pqs,10,10000,32768,0.002960,22715
pqs,11,10000,32768,0.003204,18292
pqs,12,10000,32768,0.003287,25083
pqs,1,10000,32768,0.002463,5520
pqs,2,10000,32768,0.001419,4954
pqs,3,10000,32768,0.001276,10364
pqs,4,10000,32768,0.001244,10937
pqs,5,10000,32768,0.001956,12734
pqs,6,10000,32768,0.002616,14316
pqs,7,10000,32768,0.002618,12534
pqs,8,10000,32768,0.002350,16755
pqs,9,10000,32768,0.002453,20141
pqs,10,10000,32768,0.002003,18110
pqs,11,10000,32768,0.006159,19532
pqs,12,10000,32768,0.010522,18999
pms,1,10000,32768,0.002636,5881
pms,2,10000,32768,0.001582,8101
pms,3,10000,32768,0.001555,5161
pms,4,10000,32768,0.001688,12332
pms,5,10000,32768,0.001656,14676
pms,6,10000,32768,0.001932,15850
pms,7,10000,32768,0.001974,19169
pms,8,10000,32768,0.002063,20214
pms,9,10000,32768,0.002056,20952
pms,10,10000,32768,0.002846,22302
pms,11,10000,32768,0.002940,20601
pms,12,10000,32768,0.003069,24406
pms,1,10000,32768,0.002628,6414
pms,2,10000,32768,0.001657,8587
pms,3,10000,32768,0.001580,9870
pms,4,10000,32768,0.001755,12788
pms,5,10000,32768,0.001873,13380
pms,6,10000,32768,0.001983,15285
pms,7,10000,32768,0.001827,14885
pms,8,10000,32768,0.002402,22567
pms,9,10000,32768,0.002803,20885
pms,10,10000,32768,0.001892,16063
pms,11,10000,32768,0.002327,24508
pms,12,10000,32768,0.003198,28960
pms,1,10000,32768,0.002694,3937
